@relation opinion
@attribute category {positive,negative,neutral,objective}
@attribute exclamation_marks numeric
@attribute question_marks numeric
@attribute dot_marks numeric
@attribute word_count numeric
@attribute letter_count numeric
@attribute bad_word_count numeric
@attribute good_word_count numeric
@attribute happy_emoji numeric
@attribute angry_emoji numeric
@attribute dcs_list_score numeric
@attribute positive_list numeric
@attribute negative_list numeric
@attribute posemo_list numeric
@attribute negemo_list numeric
@data
negative,0,0,2,18,75,0,0,0,0,0.24,1,2,0,0
neutral,0,0,1,14,74,0,0,0,0,-0.77,1,0,0,0
positive,0,0,3,24,127,0,0,0,0,-0.35,3,1,2,2
objective,0,1,2,18,91,0,1,0,0,0.39,1,0,1,1
negative,0,0,2,22,133,0,0,0,0,-0.14,0,0,1,1
objective,0,0,4,22,138,0,0,0,0,-1.00,1,1,1,1
positive,0,0,2,22,108,0,0,0,0,-0.71,0,7,0,0
objective,0,0,4,22,136,0,0,0,0,-1.33,0,1,0,0
neutral,0,0,1,11,64,0,0,0,0,0.06,0,0,0,0
positive,0,0,0,15,130,0,0,0,0,0.00,0,0,0,0
objective,2,0,1,22,140,0,0,1,0,-1.43,3,0,0,0
positive,3,0,0,25,131,0,0,0,0,-0.67,4,3,1,1
negative,0,0,0,21,127,0,0,0,0,-0.60,1,1,0,0
negative,0,1,5,25,139,0,0,0,0,-2.05,1,2,0,0
neutral,0,0,0,10,50,0,0,0,0,-0.03,1,1,0,0
positive,1,0,10,21,130,0,0,0,0,-1.78,0,0,0,0
positive,0,2,0,8,38,0,0,1,0,-0.01,0,0,0,0
positive,0,0,2,19,105,0,0,0,0,-0.18,2,2,2,2
positive,2,0,2,14,68,0,0,0,0,0.39,2,0,0,0
negative,0,0,1,24,139,0,0,0,0,-1.24,0,1,0,0
negative,0,0,0,20,82,0,0,0,0,-0.55,1,2,0,0
positive,0,0,1,22,95,0,0,0,0,-1.52,1,0,0,0
positive,1,0,2,10,55,0,1,0,0,-0.44,1,0,1,1
neutral,2,0,0,25,129,0,0,0,0,-1.52,3,0,1,1
positive,1,0,0,3,26,0,0,1,0,-0.33,0,0,0,0
positive,1,0,3,25,136,0,0,0,0,0.55,2,1,1,1
neutral,0,0,2,25,126,0,0,0,0,-0.95,2,2,1,1
positive,1,0,0,15,79,0,0,1,0,-0.77,1,1,0,0
negative,0,0,4,21,138,0,0,0,0,1.19,1,1,1,1
positive,0,1,1,17,86,0,0,0,0,-0.02,0,0,0,0
positive,0,0,4,29,140,0,0,0,0,-0.90,5,1,2,2
objective,0,0,3,27,140,0,0,0,0,-1.26,4,1,3,3
neutral,0,0,1,20,111,0,0,0,0,-0.67,0,1,1,1
